CODIGO NNM,DESCRIPCION NNM,Codigo SOM,DESCRIPCIÓN SOM
10406,"NEUROTOMIA SELECTIVA DEL FACIAL, O GLOSOFARINGEO O NEUMOGASTRICO CERVICAL         ",1-010406,NEUROTOMIA SELECTIVA DEL FACIAL                       
10407,"INJERTO Y/O ANASTOMOSIS DEL NERVIO FACIAL, HIPOGLOSO, ESPINAL O SIMILARES             ",1-010407,INJER.Y/O ANASTOMOSIS NERVIO FACIAL                   
10408,NEUROLISIS EXTRACRANEAL - CUALQUIER METODO -                       ,1-010408,NEUROLISIS EXTRACRANEAL                               
10409,BLOQUEO EXTRACRANEAL ANTIALGICO.                  ,1-010409,BLOQUEO EXTRACRANEAL ANTIALGICO.                      
10411,TERMOLESION DE NERVIOS CRANEALES - CUALQUIER TECNICA -,7-019209,TERMOCOAGULACION DE NERVIOS CRANEALES POR VIA ESTE    
10411,TERMOLESION DE NERVIOS CRANEALES - CUALQUIER TECNICA -,7-119107,EXERESIS DE LESIONES POR RADIOFRECUENCIA
01.05,INTERVENCIONES DE LOS NERVIOS PERIFERICOS,CELDA VACÍA,
10501,TRATAMIENTO QUIRURGICO POR PATOLOGÍA DEL PLEXO CERVICOBRAQUIAL  ,1-010501,TRAT QUIRURG PATOLOGIA DEL PLEXO CERVICOBRAQUIAL      
10502,"TRATAMIENTO QUIRURGICO POR PATOLOGÍA DEL PLEXO LUMBOSACRO (Exploracion, neurorrafia, escision)",1-010502,TRAT QUIRURG PATOLOGIA DEL PLEXO LUMBOSACRO           
10503,"NEURORRAFIA, INJERTO, TUBULIZACION, ESCISION DE LESION TUMORAL DE NERVIO PERIFERICO (Radial, mediano, cubital, femoral, ciatico, popliteo, tibial, y peroneo)            ",1-010503,NEURORRAFIA  INJERTO  TUBULIZACION                  
10504,TRANSPOSICION DEL CUBITAL                         ,1-010504,TRANSPOSICION DEL CUBITAL                             
10505,DESCOMPRESION DEL MEDIANO A NIVEL DEL TUNEL CARPIANO                     ,1-010505,DESCOMPRESION DEL MEDIANO A                           
10506,ESCISION LESION TUMORAL DE NERVIO PERIFERICO               ,1-010506,ESCISION LESION TUMORAL NERV.PERIF.                   
10507,NEUROLISIS QUIRURGICA DE NERVIO PERIFERICO        ,1-010507,NEUROLISIS QUIRURGICA DE NERVIO PERIFERICO            
10508,NEUROLISIS QUIMICA O BLOQUEO ANTIALGICO DE NERVIO PERIFERICO              ,1-010508,NEUROL.QUIM./BLOQUEO ANTIALG.NER/PER                  
10509,TERMOLESION SOBRE NERVIO PERIFERICO - CUALQUIER TECNICA -,7-019016,TERMOLESION PARA RADIOFUSION SOBRE NERVIOS            
10510,CRIOTERAPIA (CRIOLESION) SOBRE NERVIO PERIFERICO,,
10511,MICROCIRUGIA DE NERVIO PERIFERICO - PLEXO -         ,7-019302,BIOPSIA DE NERVIO PERIFERICO CON MICRODISECCION Y     
01.06,OPERACIONES EN EL SISTEMA NERVIOSO VEGETATIVO,CELDA VACÍA,
10601,SIMPATECTOMIA CERVICAL                            ,1-010601,SIMPATECTOMIA CERVICAL                                
10602,SIMPATECTOMIA TORACICA                            ,1-010602,SIMPATECTOMIA TORACICA                                
10603,SIMPATECTOMIA LUMBAR POR LUMBOTOMIA              ,1-010603,SIMPATECTOMIA LUMBAR -POR LUMBOTOMIA                  
10604,RESECCION DE PLEXOS HIPOGASTRICOS SUPERIOR - INFERIOR    ,1-010604,RESECCION DE PLEXOS HIPOGASTRICOS SUPERIOR/INF        
10605,"SIMPATECTOMIA PERIARTERIAL CAROTIDEA, HUMERAL, FEMORAL O SIMILAR             ",1-010605,SIMPATECTOMIA PERIARTERIAL CAROTIDEA                  
10606,"INYECCION PARAVERTEBRAL DE TRONCOS Y GANGLIOS SIMPATICOS (Simpatico cervical, toracico, lumbar, esplacmico, y semilunar)",1-010606,INY.PARAVERTEBRAL DE TRONCOS Y GANGLIOS SIMPATICOS    
10607,SIMPATICECTOMIA POR VIDEOSCOPIA                   ,1-010607,SIMPATICECTOMIA POR VIDEOSCOPIA                       
01.07,PROCEDIMIENTOS NEURORRADIOLOGICOS,CELDA VACÍA,
10701,VENTRICULOGRAFIA POR INYECCION DE UN MEDIO DE CONTRASTE (Liquido o gaseoso) - Incluye trepanacion -                 ,1-010701,VENTRICULOGRAFIA POR INYECCION                        
10702,PAN-ARTERIOGRAFIA CEREBRAL POR CATETERISMO (Uni o bilateral)           ,1-010702,PAN-ARTERIOGRAFIA CEREBRAL POR CATET                  
10703,ARTERIOGRAFIA CAROTIDEA O VERTEBRAL - cualquier metodo -       ,1-010703,ARTERIOGRAFIA CAROTIDEA O VERTEBRAL                   
10704,NEUMOENCEFALOVENTRICULOGRAFIA FRACCIONADA (Cisternografia)                     ,1-010704,NEUMOENCEFALOVENTRICULOGRAFIA                         
10705,MIELOGRAFIA ASCENDENTE O DESCENDENTE. CISTERNOMIELOGRAFIA. RADICULOGRAFIA. MIELOGRAFIA              ,1-010705,MIELOGRAFIA ASCENDENTE O DESCENDENTE                  
10706,"DISCOGRAFIA, NEUROGRAFIA, EPIDUROGRAFIA             ",1-010706,DISCOGRAFIA  NEUROGRAFIA  EPIDUROGRA                
10706,"DISCOGRAFIA, NEUROGRAFIA, EPIDUROGRAFIA             ",1-340707,"DISCOGRAFIA, NEUROGRAFIA, EPIDUROGRAF             "
10707,EMBOLIZACION CON FINES TERAPEUTICOS               ,7-019020,EMBOLIZACION CON FINES TERAPEUTICOS                   
10707,EMBOLIZACION CON FINES TERAPEUTICOS               ,7-010707,EMBOLIZACION CON FINES TERAPEUTICOS               
,10707,1-070715,EMBOLIZACION SELECTIVA TERAPEUTICA                
,10707,1-010707,INFUSION INTRATECAL O EN CANAL MEDULAR DE CITOSTA 
10708,TRATAMIENTO ENDOVASCULAR DE ANEURISMAS CRANEALES CON EMBOLIZACIONES TERAPEUTICAS O MICROLISIS,1-010708,TRAT. ENDOVASCULAR DE ANEUR.CRANEAL CON EMB.TERAPE    
10709,TRATAMIENTO ENDOVASCULAR DE MALFORMACIONES CRANEALES CON EMBOLIZACIONES TERAPEUTICAS O MICROLISIS,1-010709,TRAT. ENDOVASCULAR DE MALF.CRANEALES CON EMB.TERAP    
10710,TRATAMIENTO ENDOVASCULAR DE TUMORES CRANEALES CON EMBOLIZACIONES TERAPEUTICAS PREQUIRURGICA,1-010710,TRAT. ENDOVASCULAR DE TUMORES CRANEALES CON EMBOLI    
10711,ABLACION DE NERVIO CRANEAL POR RADIOFRECUENCIA    ,1-010711,ABLACION DE NERVIO CRANEAL POR RADIOFRECUENCIA        
10713,INFUSION INTRATECAL O EN CANAL MEDULAR DE CITOSTATICOS,1-010707,INFUSION INTRATECAL O EN CANAL MEDULAR DE CITOSTA     
10801,BIOPSIA CEREBRAL ESTEREOTAXICA                    ,1-010801,BIOPSIA CEREBRAL ESTEREOTAXICA                        
 02.,OPERACIONES EN EL APARATO DE LA VISION  ,CELDA VACÍA,
02.01,"OPERACIONES EN LA ORBITA, EN EL GLOBO OCULAR Y MUSCULOS OCULARES",CELDA VACÍA,
20101,EXENTERACION DEL CONTENIDO ORBITARIO              ,1-020101,EXENTERACION DEL CONTENIDO ORBITARIO                  
20102,NEUROTOMIA DEL NERVIO OPTICO.                     ,1-020102,NEUROTOMIA DEL NERVIO OPTICO.                         
20103,"ORBITOTOMIA CON ECISION DE LESION DE ORBITA, EXPLORACION, EXTRACCION DE CUERPO EXTRAÑO, BIOPSIA, DRENAJE.              ",1-020103,ORBITOTOMIA C/ECIS.CUERP.EXT.EXPLOR.                  
20104,INTRODUCCION DE SUSTANCIAS TERAPEUTICAS RETROGLOBULARES INYECTABLES                ,1-020104,INTR.SUST.TERAPEU.RETROGLOBULARES                     
20105,REPARACION PLASTICA DE LA ORBITA CON O SIN INJERTO DE PIEL (Incluye toma de injerto),1-020105,REPARACION PLASTICA ORBITA C/S INJERTO DE PIEL        
,20105,7-029021,RECONSTRUCCION DE CAVIDAD ORBITARIA               
,20105,7-029022,RECONSTRUCCION DE ORBITA CON INJERTO DE CONJUNTIVA
20106,ENUCLEACION O EVISCERACION DEL GLOBO OCULAR           ,1-020106,ENUCLEACION O EVISCERACION GLOBO OCULAR               
20107,"ASPIRACION, LAVADO E IMPLANTE DEL VITREO          ",1-020107,ASPIRACION  LAVADO E IMPLANTE DEL VITREO             
,20107,7-026033,BRIDAS VITREORRETINALES                           
,20107,7-026034,SINEQUIAS VITREORRETINALES                        
,20107,7-026046,MODULO DE ROTACION CORNEAL                        
,20107,7-029007,CIRUGIA VITREORETINAL                             
,20107,7-029012,LENSECTOMIA                                       
20108,VITRECTOMIA            ,1-020108,VITRECTOMIA CON MICROSCOPIO CON LUZ                   
,20108,7-029026,VITRECTOMIA CON OCUTOME Y RETINOPEXIA CON IMPLANTE
20109,TRATAMIENTO QUIRURGICO CORRECTIVO DEL ESTRABISMO - Uni o bilateral -,1-020109,TRATAMIENTO QUIRURGICO CORRECTIVO DEL ESTRABISMO      
,20109,7-026017,MICROCIRUGIA DE ESTRABISMO C/SUTURAS AJUSTABLES   
20110,"OPERACIÓN DE HUMMELSHEIN, SUPLANTAMIENTO DEL RECTO EXTERNO POR EL RECTO SUPERIOR Y RECTO INFERIOR Y VARIANTES                ",1-020110,OP DE HUMMELSHEIN SUPLANTAMIENTO                      
20111,EXCENTERACION DE CONTENIDO ORBITARIO Y RESECCION TOTAL DE MAXILAR SUPERIOR   ,1-020111,EXCENT. CONTENIDO ORBITARIO Y RESECCION MAX SUP       
20117,VITRECTOMIA CON ENDOLASER                         ,7-026022,VITRECTOMIA CON ENDOLASER                             
,20117,7-029031,DESP. RETINA + VITRECTOMIA + ENDOLASER Y SUS      
,20117,7-029001,"AUTOINJERTO, VITRECTOMIA Y ENDOLASER              "
02.02,OPERACIONES EN LOS PARPADOS,CELDA VACÍA,
20201,RECONSTRUCCION TOTAL DEL PARPADO - HUGJES O SIMILAR -                 ,1-020201,RECONSTRUCCION TOTAL DEL PARPADO                      
20202,"BLEFAROPLASTIA - Plástica de cejas, Ectropión, Entropión, ptosis, etc -            ",1-020202,BLEFAROPLASTIA INJERTO CANTOPLASTIA                   
,20202,7-029027,"BLEFAROPLASTIA, ENTROPION, ECTROPION, PTOSIS, PTER"
,20202,7-700125,MOD 304 CIRUGIA MENOR .BLEFAROPLASTIA.ETC         
20203,BLEFARORRAFIA PARCIAL O TOTAL.                    ,1-020203,BLEFARORRAFIA PARCIAL O TOTAL.                        
20204,BLEFAROCHALASIS (chalazión)                              ,1-020204,BLEFAROCHALASIS                                       
20205,"ESCISION DE LESION DE PARPADOS, BLEFARECTOMIA, BLEFAROTOMIA                  ",1-020205,ESCISION DE LESION DE PARPADOS                        
20210,TRATAMIENTO DEL BLEFAROSPASMO CON TOXINA BOTULINICA ,,
02.03,OPERACIONES EN LA CONJUNTIVA,CELDA VACÍA,
20301,CONJUNTIVOPLASTIA (pterigión)         ,1-020301,CONJUNTIVOPLASTIA INJERTO LIBRE                       
,20301,7-029016,PTERIGION MODULO                                  
,20301,7-026007,PTERIGION INVASOR                                 
20302,ESCISION DE LESION CONJUNTIVA                     ,1-020302,ESCISION DE LESION CONJUNTIVA                         
20303,INTRODUCCION SUSTANCIAS TERAPEUTICAS SUBCONJUNTIVALES  ,1-020303,INTRODUCCION SUST. TERAPEUTICAS SUBCONJUNTIVALES      
,20303,1-020306,INTRO.SUBS.TERAPEU.INYECT.SUBCONJUNT              
,20303,7-026051,MODULO DE INTRODUCCION DE SUSTANCIAS INTRAVITREAS 
20304,"PERITECTOMIA, PERITOTOMIA - Escisión de anillo de conjuntiva alrededor de la córnea -              ",1-020304,PERITECTOMIA ESCI.ANILLO CONJUN.CORN                  
20305,SUTURA DE CONJUNTIVA - Extracción de cuerpo extraño subconjuntival. Biopsia de conjuntiva -                          ,1-020305,SUTURA DE CONJUNTIVA                                  
,20305,7-026005,LINFAGIECTASIAS                                   
,20305,7-026004,QUISTES CONJUNTIVALES                             
20307,RECUBRIMIENTO CONJUNTIVAL            ,7-029023,RECUBRIMIENTO CONJUNTIVAL - MODULOS -                 
,20307,7-029020,RECONSTRUCCION CONJUNTIVAL                        
,20307,7-029022,RECONSTRUCCION DE ORBITA CON INJERTO DE CONJUNTIVA
20308,INYECCION DE SUSTANCIAS ANTIANGIOGÉNICAS EN CAMARA POSTERIOR,,
02.04,OPERACIONES EN LA CORNEA,CELDA VACÍA,
20401,"QUERATOPLASTIA LAMINAR, INJERTO DE CORNEA               ",1-020401,QUERATOPLASTIA LAMINAR INJER.CORNEA                   
20402,"QUERATOPROTESIS TOTAL, QUERATOPLASTIA TOTAL          ",1-020402,QUERATOPROTESIS TOTAL QUERATOPLASTIA                  
,20402,7-026029,TECN. LTK C/HOLMIUM P/CORRECIÓN DE HIPERM Y PRESB 
20403,SUTURA DE CORNEA                                  ,1-020403,SUTURA DE CORNEA                                      
20404,"QUERATOCENTESIS, EXTRACCION DE CUERPO EXTRAÑO, BIOPSIA EN QUIROFANO.              ",1-020404,QUERATOSENTESIS COMO UNICA INTERVEN.                  
20405,CAUTERIZACION CORNEAL - CON O SIN RASPADO PREVIO -             ,1-020405,CAUTERIZACION CORNEAL C/S RASP.PREV.                  
20406,SUTURA DE HERIDA DE CORNEA CON PROLAPSO DE IRIS Y/O HERIDA DE CRISTALINO. EXTRACCION DE CUERPO EXTRAÑO EN CAMARA ANTERIOR               ,1-020406,SUT.HERIDA CORNEA C/PROLAP.IRIS                       
20407,QUERATOTOMIA/QUERATOPLASTIA RADIAL                    ,7-029019,QUERATOTOMIA RADIAL                                   
,20407,2-020160,MODULO KERATOTOMIA RADIAL (X)                     
,20407,7-026009,PEELING DE CORNEA                                 
,20407,7-026027,QUERATOTOMIA ASTIGMATICA                          
20408,CROSSLINKING CORNEAL - UNILATERAL -,7-029035,CROSSLINKING CORNEAL CON UV-A Y RIBOFLAVINA           
20410,CIRUGÍA REFRACTIVA CON EXCIMER LASER - UNILATERAL -,7-029009,EXCIMER LASER                                         
,20410,7-029005,"CIRUGIA REFRACTIVA (MIOPIA, ASTIGMATISMO) - POR OJ"
,20410,7-029011,FOTOCIRUGIA-EXCIMER LASER                         
20411,CIRUGIA REFRACTIVA CON LASIK - UNILATERAL -,7-026028,TECN.LASIK P/CORRECION DE MIOPIA  ASTIG. E HIPERM.   
20412,CIRUGIA DE QUERATECTOMIA FOTO-REFRACTIVA (PRK),7-029015,PHOTOQUERATECTOMIA CON EXCIMER LASER                  
,20412,7-026030,TECNICA PRK                                       
20413,QUERATOMILEUSIS - POR OJO -                       ,7-029018,QUERATOMILEUSIS - POR OJO -                           
20415,CIRUGIA DE COLOCACION DE LIO FAQUICA - UNILATERAL -,7-026031,COLOC. DE LIO EN OJOS FAQUICOS P/CORRECC DE VICIOS    
20416,IMPLANTE DE SEGMENTOS (ANILLOS) INTRACORNEALES - UNILATERAL -,7-029034,COLOC ANILLOS INTRACORNEALES P/QUERATOCONO POR OJO    
02.05,OPERACIONES EN EL IRIS Y CUERPO CILIAR,CELDA VACÍA,
20501,TRATAMIENTO QUIRURGICO DEL GLAUCOMA (Trabeculectomía) - UNILATERAL -     ,1-020501,TRATAMIENTO QUIRURGICO DEL GLAUCOMA.                  
,20501,7-026014,TRABECULECTOMIA                                   
,20501,7-026015,TRABECULECTOMIA C/IMPLNTE DE VALVULA (INCL.VALVULA
20502,IRIDOTOMIA. COREOPLASTIA. IRIDECTOMIA. TRABECULOPLASTIA - UNILATERAL -        ,1-020502,IRIDATOMIA COREOPLASTIA IRIDECTOMIA                   
20503,IRIDOCICLECTOMIA O CICLECTOMIA. IRIDOCICLOTOMIA - UNILATERAL -                      ,1-020503,IRIDOCICLECTOMIA POR TUMORES                          
20507,CRIOTERAPIA DE CUERPO CILIAR                      ,7-026013,CRIOTERAPIA DE CUERPO CILIAR                          
,20507,7-026011,CRIOPLASTIA                                       
02.06,OPERACIONES EN LA ESCLEROTICA Y RETINA,CELDA VACÍA,
20601,FOTOCOAGULACION CONVENCIONAL                      ,1-020601,FOTOCOAGULACION CONVENCIONAL                          
20602,FOTOCOAGULACION CON RAYO LASER DE ARGON           ,7-026036,FOTOCOAGULACION CON LASER ARGON EN RETINOPAITAS/DI    
,,1-020602,FOTOCOAGULACION CON RAYO LASER DE ARGON           
20603,RETINOPEXIA CON ESCLERECTOMIA E IMPLANTE              ,1-020603,RETINOPEXIA C/ESCLERECTOMIA IMPLANTE                  
,20603,7-026052,MODULO DE DESPRENDIMIENTO DE RETINA + ESPONJA     
20604,RETINOPEXIA Y ESCLERECTOMIA                       ,1-020604,RETINOPEXIA Y ESCLERECTOMIA                           
20605,"RETINOPEXIA (DIATERMIA, CRIO, ETC.)                   ",1-020605,RETINOPEXIA DIATERMIA CRIO ETC.                       
,20605,7-029014,OPERACION DE ESCLEROTICA CON ENDOLASER            
20606,ESCLERECTOMIA CON EXTRACCION DE CUERPO EXTRAÑO                 ,1-020606,ESCLERECTOMIA C/EXTR.CUERP.EXTRA.                     
20609,CRIO FOTOCOAGULACION DE RETINA,,
02.07,OPERACIONES EN EL CRISTALINO,CELDA VACÍA,
20701,EXTRACCION DEL CRISTALINO (CATARATAS)              ,1-020701,EXTRACCION DEL CRISTALINO CATARATAS                   
20702,EXTRACCION DE MASAS CRISTALINIANAS                ,1-020702,EXTRACCION DE MASAS CRISTALINIANAS                    
20703,CAPSULOTOMIA.                                     ,1-020703,CAPSULOTOMIA.                                         
20704,IMPLANTE DE LENTE INTRAOCULAR EN FORMA EXTRACAPSULAR,1-020704,IMPLANTE DE LENTE INTRAOCULAR EN FORMA EXTRACAPSUL    
,20704,7-026043,MODULO DE IMPLANTE SECUNDARIO EN CAMARA POSTERIOR 
20705,IMPLANTE DE MEMBRANA AMNIOTICA EN QUEMADURAS IGNEAS O QUIMICAS,1-020705,IMPLANTE MEMB AMNIOTICA QUEMADURAS IGNEAS/QUIMICAS    
20706,EXTRACCION DE LENTE EN CAMARA ANTERIOR O POSTERIOR - UNILATERAL -,,
20710,CIRUGIA DE CATARATAS CON LIO - POR FACOEMULSIFICACIÓN - UNILATERAL,7-029010,FACOEMULSIFICACION / CATARATA CON IMPLANTE DE LIO     
,20710,7-026049,MODULO DE CATARATA CONGENITA CON IMPLANTE DE L.I.O
,20710,7-029030,CATARATA MAS GLAUCOMA                             
20711,CIRUGIA DE CATARATA CONGENITA - POR FACOEMULSIFICACIÓN - UNILATERAL,7-026048,MODULO DE CATARATA CONGENITA SIN IMPLANTE DE L.I.O    
20712,ROTACION O CAMBIO DE LENTE INTRAOCULAR (LIO)         ,7-026040,MODULO DE ROTACION DE LENTE INTRAOCULAR               
,20712,7-026044,MODULO DE CAMBIO DE L.I.O.                        
02.08,OPERACIONES EN EL TRACTO LAGRIMAL,CELDA VACÍA,
20801,"DACRIOCISTORRINOSTOMIA, FISTULIZACION DE SACO LAGRIMAL EN CAVIDAD NASAL. PLOMBAJE               ",1-020801,DACRIOCISTORRINOSTOMIA FISTULIZACION                  
,20801,7-026019,"DACRICISTORRINOSTOMIA, FISTUL.DE SACO LAGRIMAL A C"
,20801,7-026018,MICROCIRUGIA EN EL TRACTO LAGRIMAL                
,20801,7-029006,CIRUGIA VIAS LAGRIMALES                           
20802,ESCISION DE GLANDULA LAGRIMAL (O saco lagrimal)                 ,1-020802,ESCISION DE GLANDULA LAGRIMAL                         
20803,DRENAJE DE GLANDULA O SACO LAGRIMAL ,,
20803,DRENAJE DE GLANDULA O SACO LAGRIMAL ,1-020803,DRENAJE DE GLANDULA O SACO LAGRIMAL               
20804,CATETERIZACION DE CONDUCTO LAGRIMONASAL (En quirófano)     ,1-020804,CATETERIZACION DE CONDUCTO LAGRIMONASAL               
,20804,7-026020,ESTRICTUROTOMIA/CATETERIZACION COND. LACRIMOSAL   
20805,PUNTOPLASTIA CON O SIN INTUBACION (PUNCTAL PLUGS),7-029033,PUNTOPLASTIA CON MATERIAL (PUNTUM PLAG)               
,20805,7-029028,CANALICULOPATÍAS                                  
